id,Publisher,Author,Primary ISBN10,Date,Title,Weeks on list
1,Riverhead,Paula Hawkins,1594634025.0,2/19/17,THE GIRL ON THE TRAIN,102.0
2,Scribner,Anthony Doerr,1501173219.0,5/7/17,ALL THE LIGHT WE CANNOT SEE,81.0
3,Vintage,E L James,525431888.0,3/5/17,FIFTY SHADES DARKER,66.0
4,St. Martin's,Kristin Hannah,1466850604.0,10/29/17,THE NIGHTINGALE,63.0
5,Penguin Group,Kathryn Stockett,1440697663.0,4/8/12,THE HELP,58.0
6,Washington Square,Fredrik Backman,1476738025.0,7/23/17,A MAN CALLED OVE,56.0
7,Andrews McMeel,Rupi Kaur,144947425X,3/11/18,MILK AND HONEY,52.0
8,Bantam,George R R Martin,553897845.0,9/17/17,A GAME OF THRONES,51.0
9,Berkley,Liane Moriarty,425274861.0,5/21/17,BIG LITTLE LIES,38.0
10,Ballantine,Lisa Wingate,425284697.0,6/9/18,BEFORE WE WERE YOURS,35.0
11,Scout,Ruth Ware,1501132954.0,10/8/17,THE WOMAN IN CABIN 10,35.0
12,Penguin Press,Celeste Ng,735224307.0,6/9/18,LITTLE FIRES EVERYWHERE,31.0
13,Knopf Doubleday Publishing,Stieg Larsson,307272117.0,1/13/13,THE GIRL WITH THE DRAGON TATTOO,31.0
14,Houghton Mifflin Harcourt,Margaret Atwood,038549081X,6/3/18,THE HANDMAID'S TALE,27.0
15,Doubleday,John Grisham,1101967684.0,9/24/17,THE WHISTLER,25.0
16,Grand Central,Nicholas Sparks,1455520667.0,5/17/15,THE LONGEST RIDE,25.0
17,Broadway,Ernest Cline,307887448.0,5/20/18,READY PLAYER ONE,24.0
18,Doubleday,John Grisham,1524797154.0,5/27/18,CAMINO ISLAND,23.0
19,Dell,Diana Gabaldon,440335167.0,9/24/17,OUTLANDER,21.0
20,Penguin Group,Sylvia Day,None,2/10/13,BARED TO YOU,21.0
21,Andrews McMeel,Rupi Kaur,1449486797.0,4/1/18,THE SUN AND HER FLOWERS,20.0
22,Doubleday,Dan Brown,385514239.0,3/4/18,ORIGIN,20.0
23,Ballantine,Martha Hall Kelly,1101883081.0,9/17/17,LILAC GIRLS,20.0
24,Scribner,Stephen King,1501120603.0,3/6/16,11/22/63,19.0
25,Vintage,E L James,345803574.0,3/8/15,FIFTY SHADES TRILOGY,19.0
26,Forge Books,W Bruce Cameron,765388111.0,4/30/17,A DOG'S PURPOSE,18.0
27,Entangled Publishing,Jennifer Probst,None,9/2/12,THE MARRIAGE BARGAIN,17.0
28,St. Martin's,Kristin Hannah,125016561X,6/9/18,THE GREAT ALONE,16.0
29,Doubleday,Colson Whitehead,385542364.0,2/12/17,THE UNDERGROUND RAILROAD,16.0
30,Ballantine,Jodi Picoult,034554496X,2/12/17,SMALL GREAT THINGS,16.0
31,Grand Central,Nicholas Sparks,1455520691.0,2/5/17,TWO BY TWO,16.0
32,Harper,Harper Lee,62409875.0,7/10/16,GO SET A WATCHMAN,16.0
33,Morrow,AJ Finn,62678418.0,5/6/18,THE WOMAN IN THE WINDOW,15.0
34,Scribner,Stephen King,1501175467.0,12/10/17,IT,15.0
35,Grand Central,Nicholas Sparks,1455520608.0,7/2/17,SEE ME,15.0
36,Grand Central,David Baldacci,446573043.0,5/5/13,THE FORGOTTEN,15.0
37,Delacorte,Lee Child,399593500.0,6/9/18,THE MIDNIGHT LINE,14.0
38,Doubleday,John Grisham,385541171.0,2/11/18,THE ROOSTER BAR,14.0
39,Grand Central,David Baldacci,145558648X,5/14/17,THE LAST MILE,14.0
40,Riverhead,Paula Hawkins,735211221.0,6/3/18,INTO THE WATER,13.0
41,Windblown Media,William P Young,964729237.0,5/7/17,THE SHACK,13.0
42,"Sarah Crichton/Farrar, Straus & Giroux",Matthew Quick,142996023X,6/2/13,THE SILVER LININGS PLAYBOOK,13.0
43,Delacorte Press,William Landay,345527593.0,4/7/13,DEFENDING JACOB,13.0
44,Grand Central,David Baldacci,1455586587.0,4/1/18,THE FIX,12.0
45,Grand Central,David Baldacci,1455521167.0,4/12/15,THE ESCAPE,12.0
46,Darcie Chan,Darcie Chan,None,9/29/13,THE MILL RIVER RECLUSE,12.0
47,Houghton Mifflin Harcourt,Yann Martel,547416113.0,4/7/13,LIFE OF PI,12.0
48,Delacorte,Lee Child,804178828.0,6/18/17,NIGHT SCHOOL,11.0
49,Berkley,Nora Roberts,110198760X,4/23/17,THE OBSESSION,11.0
50,Ecco/HarperCollins,Cynthia D'Aprix Sweeney,62414216.0,6/19/16,THE NEST,11.0
51,Grand Central,David Baldacci,1455586501.0,4/9/17,NO MAN'S LAND,10.0
52,"Little, Brown",James Patterson,031640716X,3/26/17,CROSS THE LINE,10.0
53,Grand Central,David Baldacci,1455586439.0,4/17/16,THE GUILTY,10.0
54,Putnam,Nora Roberts,1101989750.0,4/10/16,THE LIAR,10.0
55,Knopf,David Lagercrantz,385354290.0,3/13/16,THE GIRL IN THE SPIDER'S WEB,10.0
56,"Little, Brown & Company",James Patterson,None,2/5/12,KILL ALEX CROSS,10.0
57,Knopf Doubleday,John Grisham,440245117.0,9/11/11,THE CONFESSION,10.0
58,Vintage,EL James,385543980.0,2/25/18,DARKER,9.0
59,Viking,Ken Follett,052595497X,12/10/17,A COLUMN OF FIRE,9.0
60,Flatiron,Liane Moriarty,1250069815.0,1/15/17,TRULY MADLY GUILTY,9.0
61,Grand Central,Nicholas Sparks,446401315.0,3/6/16,THE CHOICE,9.0
62,Delacorte,Lee Child,804178755.0,5/24/15,PERSONAL,9.0
63,"Little, Brown",James Patterson,None,2/8/15,HOPE TO DIE,9.0
64,Grand Central,Nicholas Sparks,None,11/16/14,THE BEST OF ME,9.0
65,Grand Central,David Baldacci,145552123X,7/6/14,THE TARGET,9.0
66,Grand Central,David Baldacci,1455521280.0,7/7/13,THE HIT,9.0
67,Tracey Garvis-Graves,Tracey Garvis-Graves,None,6/24/12,ON THE ISLAND,9.0
68,"Little, Brown",James Patterson and Michael Ledwidge,031612723X,9/11/11,NOW YOU SEE HER,9.0
69,St. Martin's,Greer Hendricks and Sarah Pekkanen,125013093X,6/3/18,THE WIFE BETWEEN US,8.0
70,Algonquin,Tayari Jones,1616207604.0,4/15/18,AN AMERICAN MARRIAGE,8.0
71,Grand Central,David Baldacci,1455586633.0,1/21/18,END GAME,8.0
72,Bantam,Janet Evanovich,345543017.0,10/1/17,TURBO TWENTY-THREE,8.0
73,Random House,Emma Cline,812998618.0,8/21/16,THE GIRLS,8.0
74,Picador,Michael Punke,1250072689.0,3/20/16,THE REVENANT,8.0
75,Scribner,Stephen King,1501111671.0,1/10/16,THE BAZAAR OF BAD DREAMS,8.0
76,Putnam,Nora Roberts,None,7/26/15,WHISKEY BEACH,8.0
77,Delacorte,Lee Child,440246326.0,4/27/14,NEVER GO BACK,8.0
78,Broadway,Max Brooks,307351939.0,7/28/13,WORLD WAR Z,8.0
79,"Little, Brown & Company",James Patterson,316210692.0,1/20/13,"MERRY CHRISTMAS, ALEX CROSS",8.0
80,Random House Publishing,Janet Evanovich,345527704.0,12/18/11,SMOKIN’ SEVENTEEN,8.0
81,Grand Central,David Baldacci,446573078.0,6/26/11,THE SIXTH MAN,8.0
82,"Little, Brown",Michael Connelly,316069388.0,6/12/11,THE FIFTH WITNESS,8.0
83,"Little, Brown",Michael Connelly,316225916.0,1/14/18,TWO KINDS OF TRUTH,7.0
84,Knopf,David Lagercrantz,451494334.0,11/12/17,THE GIRL WHO TAKES AN EYE FOR AN EYE,7.0
85,"Little, Brown",Michael Connelly,316225975.0,10/15/17,THE LATE SHOW,7.0
86,"Little, Brown",Michael Connelly,316225959.0,1/15/17,THE WRONG SIDE OF GOODBYE,7.0
87,"Little, Brown",Michael Connelly,None,3/27/16,THE DROP,7.0
88,"Little, Brown",James Patterson,316407143.0,1/24/16,CROSS JUSTICE,7.0
89,Scribner,Stephen King,1476770387.0,1/11/15,REVIVAL,7.0
90,"Little, Brown",James Patterson and David Ellis,NA,8/31/14,INVISIBLE,7.0
91,Scribner,Stephen King,1476754462.0,8/3/14,MR. MERCEDES,7.0
92,"Little, Brown",James Patterson and Maxine Paetro,316211281.0,7/6/14,UNLUCKY 13,7.0
93,"Little, Brown",James Patterson,316210927.0,2/2/14,CROSS MY HEART,7.0
94,Grand Central,David Baldacci,None,1/19/14,KING AND MAXWELL,7.0
95,Rachel Van Dyken,Rachel Van Dyken,989078310.0,6/2/13,THE BET,7.0
96,Knopf Doubleday Publishing,Maeve Binchy,None,4/14/13,A WEEK IN WINTER,7.0
97,Colleen Hoover,Colleen Hoover,None,2/24/13,HOPELESS,7.0
98,Atria Books,Vince Flynn,None,4/8/12,KILL SHOT,7.0
99,"Little, Brown & Company",James Patterson and Marshall Karp,316097551.0,10/30/11,KILL ME IF YOU CAN,7.0
100,Grand Central,David Baldacci,1538761378.0,6/9/18,THE FALLEN,6.0
101,Putnam,John Sandford,1101988843.0,4/22/18,GOLDEN PREY,6.0
102,Scribner,Jason Matthews,NA,4/15/18,RED SPARROW,6.0
103,"Little, Brown",James Patterson and Maxine Paetro,031655345X,2/18/18,16TH SEDUCTION,6.0
104,Delacorte,Lee Child,399593594.0,2/4/18,NO MIDDLE NAME,6.0
105,"Little, Brown",James Patterson,None,1/14/18,THE PEOPLE VS. ALEX CROSS,6.0
106,Crown,Andy Weir,553448129.0,1/7/18,ARTEMIS,6.0
107,Putnam,Janet Evanovich,399179194.0,1/7/18,HARDCORE TWENTY-FOUR,6.0
108,Simon & Schuster,Nelson DeMille,1501101749.0,11/12/17,THE CUBAN AFFAIR,6.0
109,"Little, Brown",Elin Hilderbrand,316375209.0,8/6/17,THE IDENTICALS,6.0
110,"Little, Brown",James Patterson and David Ellis,316464147.0,5/21/17,THE BLACK BOOK,6.0
111,Norton,Neil Gaiman,039360909X,4/2/17,NORSE MYTHOLOGY,6.0
112,HarperCollins,Paulo Coelho,62416219.0,1/15/17,THE ALCHEMIST,6.0
113,Harlequin,Nora Roberts,1459295366.0,12/11/16,UNFINISHED BUSINESS,6.0
114,Dutton,Harlan Coben,698411447.0,11/13/16,HOME,6.0
115,Scribner,Stephen King,1501129740.0,7/31/16,END OF WATCH,6.0
116,Dutton,Harlan Coben,698404173.0,5/15/16,FOOL ME ONCE,6.0
117,Emily Bestler/Atria,Vince Flynn and Kyle Mills,1476783470.0,11/29/15,THE SURVIVOR,6.0
118,Emily Bestler/Atria,Brad Thor,1476717176.0,8/30/15,CODE OF CONDUCT,6.0
119,Harper,Daniel Silva,NA,9/7/14,THE HEIST,6.0
120,"Mulholland/Little, Brown",Robert Galbraith,NA,8/10/14,THE SILKWORM,6.0
121,"Little, Brown",James Patterson and Marshall Karp,316211249.0,5/18/14,NYPD RED 2,6.0
122,Dutton,Harlan Coben,698148630.0,5/11/14,MISSING YOU,6.0
123,Dell,Lee Child,440246318.0,6/23/13,A WANTED MAN,6.0
124,"Little, Brown & Company",Stephenie Meyer,316128651.0,4/28/13,THE HOST,6.0
125,Simon & Schuster,Vince Flynn,141659521X,1/6/13,THE LAST MAN,6.0
126,"Little, Brown & Company",James Patterson and Mark Sullivan,316206814.0,4/8/12,PRIVATE GAMES,6.0
127,Penguin Group,Sue Grafton,399157867.0,1/8/12,V IS FOR VENGEANCE,6.0
128,Penguin Group,Charlaine Harris,None,6/26/11,DEAD RECKONING,6.0
129,Simon & Schuster,Jodi Picoult,1439102724.0,4/24/11,SING YOU HOME,6.0
130,Putnam,John Sandford,073521736X,6/9/18,TWISTED PREY,5.0
131,Delacorte,Danielle Steel,1101883960.0,5/6/18,THE RIGHT TIME,5.0
132,Pamela Dorman/Viking,Jojo Moyes,399562478.0,3/18/18,STILL ME,5.0
133,Scribner,Stephen King and Owen King,150116340X,1/7/18,SLEEPING BEAUTIES,5.0
134,"Little, Brown",James Patterson and Howard Roughan,316553476.0,8/13/17,MURDER GAMES,5.0
135,St. Martin's,Nora Roberts,1250123100.0,7/16/17,COME SUNDOWN,5.0
136,"Little, Brown",James Patterson and Michael Ledwidge,1455585300.0,3/12/17,BULLSEYE,5.0
137,"Little, Brown",James Patterson and Candice Fox,316433179.0,3/5/17,NEVER NEVER,5.0
138,Delacorte,Danielle Steel,425285421.0,2/19/17,THE APARTMENT,5.0
139,Putnam,John Sandford,None,6/12/16,EXTREME PREY,5.0
140,Random House,Elizabeth Strout,812989074.0,2/28/16,MY NAME IS LUCY BARTON,5.0
141,Morrow/HarperCollins,Karin Slaughter,006242906X,1/17/16,PRETTY GIRLS,5.0
142,Harper/HarperCollins,Mitch Albom,62294415.0,1/10/16,THE MAGIC STRINGS OF FRANKIE PRESTO,5.0
143,Marian Wood/Putnam,Sue Grafton,110161434X,10/11/15,X,5.0
144,Morrow/HarperCollins,Patricia Cornwell,None,8/30/15,FLESH AND BLOOD,5.0
145,Random House Publishing,Debbie Macomber,345535111.0,5/24/15,THE INN AT ROSE HARBOR,5.0
146,Putnam,John Sandford,NA,11/23/14,DEADLINE,5.0
147,Grand Central,Sandra Brown,None,10/12/14,MEAN STREAK,5.0
148,Barbara Freethy,Barbara Freethy,None,8/10/14,DON'T SAY A WORD,5.0
149,Witness Impulse/HarperCollins,Brian McGilloway,None,5/11/14,LITTLE GIRL LOST,5.0
150,"Little, Brown",James Patterson and Mark Sullivan,316211117.0,3/30/14,PRIVATE L.A.,5.0
151,Simon & Schuster,Graeme Simsion,NA,3/2/14,THE ROSIE PROJECT,5.0
152,"Little, Brown",James Patterson and David Ellis,316211060.0,9/22/13,MISTRESS,5.0
153,"Little, Brown",Michael Connelly,316069442.0,5/5/13,THE BLACK BOX,5.0
154,"Little, Brown & Company",James Patterson and Marshall Karp,316199893.0,11/25/12,NYPD RED,5.0
155,Colleen Hoover,Colleen Hoover,None,8/26/12,SLAMMED,5.0
156,Grand Central Publishing,Seth Grahame-Smith,446571857.0,7/22/12,ABRAHAM LINCOLN: VAMPIRE HUNTER,5.0
157,Penguin Group,John Sandford,NA,7/8/12,STOLEN PREY,5.0
158,Penguin Group,Patricia Cornwell,None,1/22/12,RED MIST,5.0
159,Legacy,CJ Lyons,None,10/9/11,BLIND FAITH,5.0
160,Simon & Schuster,Mary Higgins Clark,1439180962.0,5/22/11,I’LL WALK ALONE,5.0
161,Crown,Jean M Auel,517580519.0,5/22/11,THE LAND OF PAINTED CAVES,5.0
162,Random House,Lisa Gardner,553908111.0,4/24/11,LOVE YOU MORE,5.0
163,"Little, Brown",James Patterson and Maxine Paetro,316274046.0,6/9/18,THE 17TH SUSPECT,4.0
164,Simon & Schuster,Mary Higgins Clark,1501171690.0,5/13/18,I'VE GOT MY EYES ON YOU,4.0
165,"Little, Brown",James Patterson and Marshall Karp,316395587.0,5/6/18,RED ALERT,4.0
166,Simon & Schuster,Mary Higgins Clark,1501131125.0,4/22/18,"ALL BY MYSELF, ALONE",4.0
167,Grand Central,Brad Meltzer,1455559512.0,4/15/18,THE ESCAPE ARTIST,4.0
168,St. Martin's,Nora Roberts,None,1/14/18,YEAR ONE,4.0
169,Putnam,Marc Cameron,735215898.0,1/7/18,TOM CLANCY POWER AND EMPIRE,4.0
170,Putnam,John Sandford,698407113.0,11/26/17,DEEP FREEZE,4.0
171,Grand Central,Sandra Brown,1455572071.0,11/12/17,SEEING RED,4.0
172,Dutton,Harlan Coben,698411668.0,11/5/17,DON'T LET GO,4.0
173,Atria/Emily Bestler,Kyle Mills,1476783543.0,10/15/17,ENEMY OF THE STATE,4.0
174,Marian Wood/Putnam,Sue Grafton,399163859.0,10/1/17,Y IS FOR YESTERDAY,4.0
175,Pocket Books,Stephen King,None,8/27/17,THE GUNSLINGER,4.0
176,Harper,Daniel Silva,62354361.0,8/20/17,HOUSE OF SPIES,4.0
177,St. Martin's,J D Robb,1250123135.0,8/20/17,ECHOES IN DEATH,4.0
178,Atria/Emily Bestler,Brad Thor,1476789401.0,8/6/17,USE OF FORCE,4.0
179,Harper,Michael Crichton,62473352.0,7/2/17,DRAGON TEETH,4.0
180,Morrow,Neil Gaiman,None,6/11/17,AMERICAN GODS,4.0
181,Dutton,Lisa Gardner,698411439.0,3/12/17,RIGHT BEHIND YOU,4.0
182,Putnam,John Sandford,None,11/27/16,ESCAPE CLAUSE,4.0
183,"Little, Brown",James Patterson and Mark Sullivan,031629019X,8/7/16,THE GAMES,4.0
184,St. Martin's,Mary Kay Andrews,1466872926.0,6/26/16,THE WEEKENDERS,4.0
185,St. Martin's Griffin,Sylvia Day,1250109310.0,5/15/16,ONE WITH YOU,4.0
186,"Little, Brown",James Patterson and Mark Sullivan,316408999.0,4/24/16,PRIVATE PARIS,4.0
187,Berkley,Nora Roberts,425280101.0,12/13/15,STARS OF FORTUNE,4.0
188,"Mulholland/Little, Brown",Robert Galbraith,316349925.0,11/29/15,CAREER OF EVIL,4.0
189,Grand Central,Sandra Brown,1455581178.0,9/27/15,FRICTION,4.0
190,"Little, Brown",James Patterson and Michael Ledwidge,316407186.0,9/13/15,ALERT,4.0
191,Ballantine,Paula McLain,345534190.0,9/6/15,CIRCLING THE SUN,4.0
192,Random House Publishing,Janet Evanovich,034552778X,5/24/15,WICKED BUSINESS,4.0
193,Putnam,Mark Greaney,399173358.0,1/11/15,TOM CLANCY FULL FORCE AND EFFECT,4.0
194,Penelope Ward,Penelope Ward,1942215037.0,11/9/14,STEPBROTHER DEAREST,4.0
195,Putnam,Jan Karon,399167447.0,10/12/14,SOMEWHERE SAFE WITH SOMEBODY GOOD,4.0
196,Grand Central,James Patterson and Michael White,145552977X,10/12/14,PRIVATE DOWN UNDER,4.0
197,Viking,Deborah Harkness,698163478.0,8/31/14,THE BOOK OF LIFE,4.0
198,Ballantine,Jonathan Kellerman,345548418.0,3/23/14,KILLER,4.0
199,"Little, Brown",James Patterson and Michael Ledwidge,031621101X,11/10/13,GONE,4.0
200,Soho Press,Lene Kaaberbol,1569479828.0,9/8/13,THE BOY IN THE SUITCASE,4.0
201,Laree Bailey,H M Ward,985547324.0,5/19/13,DAMAGED,4.0
202,Harlequin Mira,Ron Carr,None,5/5/13,THE WANDERER,4.0
203,Jasinda Wilder,Jasinda Wilder,None,4/28/13,FALLING INTO YOU,4.0
204,Grand Central Publishing,JA Redmerski,None,4/14/13,THE EDGE OF NEVER,4.0
205,Penguin Group,Maya Banks,NA,3/17/13,RUSH,4.0
206,Addison Moore,Addison Moore,1624300006.0,2/10/13,SOMEONE TO LOVE,4.0
207,Jessica Sorensen,Jessica Sorensen,None,12/2/12,THE SECRET OF ELLA AND MICHA,4.0
208,Penguin Group,Charlaine Harris,None,6/10/12,DEADLOCKED,4.0
209,Penguin Group,Harlan Coben,None,4/29/12,STAY CLOSE,4.0
210,Barbara Freethy,Barbara Freethy,None,3/18/12,THE SWEETEST THING,4.0
211,Random House Publishing,Sophie Kinsella,440334861.0,11/13/11,CAN YOU KEEP A SECRET?,4.0
212,Mira,Debbie Macomber,778312518.0,10/9/11,1105 YAKIMA STREET,4.0
213,HarperCollins,J A Jance,61758221.0,9/11/11,UNTIL PROVEN GUILTY,4.0
214,Simon & Schuster,Brad Thor,1416586768.0,9/4/11,FULL BLACK,4.0
215,"Little, Brown",James Patterson and Neil McMahon,316097373.0,4/24/11,TOYS,4.0
216,Random House,Lisa Gardner,553901133.0,3/20/11,ALONE,4.0
217,Penguin Group,Tom Clancy with Grant Blackwood,None,3/6/11,DEAD OR ALIVE,4.0
218,Penguin,Shari Lapena,525505318.0,6/9/18,THE COUPLE NEXT DOOR,3.0
219,St. Martin's,Mary Kay Andrews,1250126096.0,6/9/18,THE HIGH TIDE CLUB,3.0
220,St. Martin's,Lisa Scottoline,1250099676.0,5/13/18,AFTER ANNA,3.0
221,"Little, Brown",James Patterson and Candice Fox,316513229.0,3/25/18,FIFTY FIFTY,3.0
222,Dutton,Lisa Gardner,1524742066.0,3/11/18,LOOK FOR ME,3.0
223,St. Martin's,JD Robb,125016155X,3/4/18,DARK IN DEATH,3.0
224,Tor,Brandon Sanderson,076532637X,12/17/17,OATHBRINGER,3.0
225,Vintage,Jo Nesbo,525435921.0,11/12/17,THE SNOWMAN,3.0
226,Scribner,Jennifer Egan,1476716757.0,11/5/17,MANHATTAN BEACH,3.0
227,"Little, Brown",James Patterson and James O Born,031627397X,10/22/17,HAUNTED,3.0
228,Viking,John le Carré,735225117.0,10/8/17,A LEGACY OF SPIES,3.0
229,St. Martin's,JD Robb,None,10/8/17,SECRETS IN DEATH,3.0
230,"Little, Brown",James Patterson and Richard DiLallo,316395455.0,9/17/17,THE STORE,3.0
231,Scout,Ruth Ware,1501156004.0,8/27/17,THE LYING GAME,3.0
232,Putnam,Clive Cussler and Graham Brown,399184015.0,7/2/17,NIGHTHAWK,3.0
233,Bantam,Janet Evanovich and Phoef Sutton,553392697.0,6/18/17,CURIOUS MINDS,3.0
234,Morrow/HarperCollins,Greg Iles,62311158.0,4/23/17,MISSISSIPPI BLOOD,3.0
235,Zebra,Lisa Jackson,1420136070.0,4/2/17,EXPECTING TO DIE,3.0
236,Washington Square,Fredrik Backman,1501115073.0,3/12/17,MY GRANDMOTHER ASKED ME TO TELL YOU SHE'S SORRY,3.0
237,Ballantine,J P Delaney,425285057.0,2/26/17,THE GIRL BEFORE,3.0
238,Delacorte,Danielle Steel,345531116.0,2/5/17,THE MISTRESS,3.0
239,Berkley,Nora Roberts,425280128.0,1/8/17,ISLAND OF GLASS,3.0
240,Grand Central,James Patterson and Kathryn Fox,1455568139.0,11/6/16,MISSING,3.0
241,Viking,Tana French,None,11/6/16,THE TRESPASSER,3.0
242,"Little, Brown",James Patterson and Maxine Paetro,031627402X,10/30/16,WOMAN OF GOD,3.0
243,Gallery Books,Catherine Coulter,1501150316.0,9/11/16,INSIDIOUS,3.0
244,Delacorte,Danielle Steel,1101885572.0,8/7/16,MAGIC,3.0
245,Berkley,Nora Roberts,042528011X,7/17/16,BAY OF SIGHS,3.0
246,EverAfter Romance,Vi Keeland and Penelope Ward,1942215398.0,5/15/16,STUCK-UP SUIT,3.0
247,Putnam,C J Box,None,4/10/16,OFF THE GRID,3.0
248,Putnam,Clive Cussler and Justin Scott,698406427.0,4/3/16,THE GANGSTER,3.0
249,Bantam,Dean Koontz,345545966.0,1/10/16,ASHLEY BELL,3.0
250,Atria,Jennifer Weiner,1451617836.0,9/13/15,WHO DO YOU LOVE,3.0
251,Putnam,Catherine Coulter,None,8/9/15,NEMESIS,3.0
252,Roc,Jim Butcher,None,6/29/14,SKIN GAME,3.0
253,Bantam,Janet Evanovich and Lee Goldberg,NA,3/30/14,THE CHASE,3.0
254,Helen Cooper,J S Cooper and Helen Cooper,None,3/9/14,THE EX GAMES,3.0
255,HarperCollins,Joyce Maynard,61957658.0,2/23/14,LABOR DAY,3.0
256,Ecco/HarperCollins,Amy Tan,62107313.0,12/8/13,THE VALLEY OF AMAZEMENT,3.0
257,Gail McHugh,Gail McHugh,None,8/11/13,PULSE,3.0
258,Putnam,Catherine Coulter,None,8/11/13,BOMBSHELL,3.0
259,Hard Case Crime,Stephen King,1781162646.0,7/7/13,JOYLAND,3.0
260,Broad Reach Publishing,Hugh Howey,None,6/9/13,WOOL OMNIBUS EDITION,3.0
261,Tor/Tom Doherty Associates,Robert Jordan and Brandon Sanderson,1429997176.0,4/28/13,A MEMORY OF LIGHT,3.0
262,Simon & Schuster,Kyra Davis,1476711100.0,4/21/13,THE STRANGER,3.0
263,Harlequin,Susan Mallery,None,4/14/13,THREE SISTERS,3.0
264,Grand Central Publishing,Sandra Brown,1455546348.0,3/31/13,MIRROR IMAGE,3.0
265,Abbi Glines,Abbi Glines,None,3/31/13,FALLEN TOO FAR,3.0
266,Penguin Group,J D Robb,None,3/31/13,CALCULATED IN DEATH,3.0
267,Elisabeth Naughton,Elisabeth Naughton,985671955.0,3/17/13,WAIT FOR ME,3.0
268,Grand Central Publishing,Brad Meltzer,None,2/17/13,THE FIFTH ASSASSIN,3.0
269,Penguin Group,John Sandford,None,11/4/12,MAD RIVER,3.0
270,Penguin Group,Deborah Harkness,NA,8/12/12,SHADOW OF NIGHT,3.0
271,Penguin Group,J D Robb,None,3/25/12,CELEBRITY IN DEATH,3.0
272,Penguin Group,Lisa Gardner,NA,3/11/12,CATCH ME,3.0
273,"Little, Brown & Company",Michael Connelly,None,10/30/11,SUICIDE RUN,3.0
274,Penguin Group,Stuart Woods,None,2/27/11,STRATEGIC MOVES,3.0
275,Delacorte,Danielle Steel,1101884037.0,6/9/18,THE CAST,2.0
276,Morrow,Dorothea Benton Frank,62390821.0,6/9/18,BY INVITATION ONLY,2.0
277,Zebra,Lisa Jackson and Nancy Bush,1420136135.0,5/20/18,ONE LAST BREATH,2.0
278,Putnam,Stuart Woods,073521722X,5/6/18,SHOOT FIRST,2.0
279,Putnam,CJ Box,399176624.0,4/22/18,THE DISAPPEARED,2.0
280,Delacorte,Danielle Steel,1101884096.0,4/15/18,ACCIDENTAL HEROES,2.0
281,Putnam,Clive Cussler and Graham Brown,735215537.0,4/8/18,THE RISING SEA,2.0
282,Ballantine,Jonathan Kellerman,345541472.0,3/11/18,NIGHT MOVES,2.0
283,Delacorte,Danielle Steel,1101884002.0,2/18/18,FALL FROM GRACE,2.0
284,Berkley,Christine Feehan,451488512.0,2/18/18,JUDGMENT ROAD,2.0
285,Grand Central,Douglas Preston and Lincoln Child,145553692X,2/11/18,CITY OF ENDLESS NIGHT,2.0
286,Morrow,Karin Slaughter,62430262.0,1/14/18,THE GOOD DAUGHTER,2.0
287,Bantam,Dean Koontz,345546784.0,12/3/17,THE SILENT CORNER,2.0
288,Putnam,Clive Cussler and Boyd Morrison,039957557X,12/3/17,TYPHOON FURY,2.0
289,Simon & Schuster,Mary Higgins Clark and Alafair Burke,150117164X,12/3/17,EVERY BREATH YOU TAKE,2.0
290,Berkley,Christine Feehan,399583971.0,11/19/17,LEOPARD'S BLOOD,2.0
291,Knopf,Tom Hanks,1101946156.0,11/19/17,UNCOMMON TYPE,2.0
292,Delacorte,Danielle Steel,1101884061.0,11/5/17,FAIRYTALE,2.0
293,Minotaur,Louise Penny,1250066190.0,9/24/17,GLASS HOUSES,2.0
294,Delacorte,Danielle Steel,345531086.0,7/23/17,THE DUCHESS,2.0
295,Putnam,Mike Maden,735215863.0,7/9/17,TOM CLANCY: POINT OF CONTACT,2.0
296,Morrow,Dorothea Benton Frank,62390783.0,6/11/17,"SAME BEACH, NEXT YEAR",2.0
297,Delacorte,Danielle Steel,110188391X,5/28/17,AGAINST ALL ODDS,2.0
298,St. Martin's,Lisa Scottoline,1250099587.0,5/7/17,ONE PERFECT LIE,2.0
299,HQN,Linda Lael Miller,037378970X,4/16/17,FOREVER A HERO,2.0
300,Putnam,C J Box,399176616.0,4/16/17,VICIOUS CIRCLE,2.0
301,Delacorte,Danielle Steel,110188388X,4/2/17,DANGEROUS GAMES,2.0
302,Ballantine,Jonathan Kellerman,345541448.0,3/12/17,HEARTBREAK HOTEL,2.0
303,Random House,George Saunders,812995341.0,3/12/17,LINCOLN IN THE BARDO,2.0
304,Putnam,Stuart Woods,None,1/29/17,BELOW THE BELT,2.0
305,St. Martin’s,B A Paris,1250121019.0,12/18/16,BEHIND CLOSED DOORS,2.0
306,Tijan,Tijan,None,9/18/16,ANTI-STEPBROTHER,2.0
307,Ballantine,Tess Gerritsen,345543866.0,8/7/16,DIE AGAIN,2.0
308,Putnam,Grant Blackwood,399176802.0,7/10/16,TOM CLANCY: DUTY AND HONOR,2.0
309,"Little, Brown",James Patterson with Max DiLallo,316317128.0,7/3/16,ZOO 2,2.0
310,Ballantine,Justin Cronin,804177643.0,6/19/16,THE CITY OF MIRRORS,2.0
311,Lauren Blakely,Lauren Blakely,None,5/29/16,MISTER O,2.0
312,Knopf,Richard Russo,307270645.0,5/29/16,EVERYBODY'S FOOL,2.0
