id,Artwork ID,Artist Last Name,Artist First Name,Artist ID,Artwork Title,Medium,Year Created,Acquisition,Acquisition Year,Image,Webpage
973,4569.0,Frink,Dame Elisabeth,1124.0,Small Horse and Rider,Lithograph on paper,1970.0,Presented by Waddington Galleries through the Institute of Contemporary Prints 1975,1975.0,http://www.tate.org.uk/art/images/work/P/P01/P01104_8.jpg,http://www.tate.org.uk/art/artworks/frink-small-horse-and-rider-p01104
974,4571.0,Frink,Dame Elisabeth,1124.0,Small Boar,Lithograph on paper,1971.0,Presented by Waddington Galleries through the Institute of Contemporary Prints 1975,1975.0,http://www.tate.org.uk/art/images/work/P/P01/P01106_8.jpg,http://www.tate.org.uk/art/artworks/frink-small-boar-p01106
975,4573.0,Frink,Dame Elisabeth,1124.0,The Knight’s Tale,Etching and aquatint on paper,1972.0,Presented by Waddington Galleries through the Institute of Contemporary Prints 1975,1975.0,http://www.tate.org.uk/art/images/work/P/P01/P01108_8.jpg,http://www.tate.org.uk/art/artworks/frink-the-knights-tale-p01108
976,4581.0,Frink,Dame Elisabeth,1124.0,The Physician’s Tale,Etching and aquatint on paper,1972.0,Presented by Waddington Galleries through the Institute of Contemporary Prints 1975,1975.0,http://www.tate.org.uk/art/images/work/P/P01/P01116_8.jpg,http://www.tate.org.uk/art/artworks/frink-the-physicians-tale-p01116
977,4582.0,Frink,Dame Elisabeth,1124.0,The Pardoner’s Tale,Etching and aquatint on paper,1972.0,Presented by Waddington Galleries through the Institute of Contemporary Prints 1975,1975.0,http://www.tate.org.uk/art/images/work/P/P01/P01117_8.jpg,http://www.tate.org.uk/art/artworks/frink-the-pardoners-tale-p01117
978,4583.0,Frink,Dame Elisabeth,1124.0,The Wife of Bath’s Tale,Etching and aquatint on paper,1972.0,Presented by Waddington Galleries through the Institute of Contemporary Prints 1975,1975.0,http://www.tate.org.uk/art/images/work/P/P01/P01118_8.jpg,http://www.tate.org.uk/art/artworks/frink-the-wife-of-baths-tale-p01118
979,4584.0,Frink,Dame Elisabeth,1124.0,The Summoner’s Tale,Etching and aquatint on paper,1972.0,Presented by Waddington Galleries through the Institute of Contemporary Prints 1975,1975.0,http://www.tate.org.uk/art/images/work/P/P01/P01119_8.jpg,http://www.tate.org.uk/art/artworks/frink-the-summoners-tale-p01119
980,4585.0,Frink,Dame Elisabeth,1124.0,The Clerk’s Tale,Etching and aquatint on paper,1972.0,Presented by Waddington Galleries through the Institute of Contemporary Prints 1975,1975.0,http://www.tate.org.uk/art/images/work/P/P01/P01120_8.jpg,http://www.tate.org.uk/art/artworks/frink-the-clerks-tale-p01120
981,4589.0,Frink,Dame Elisabeth,1124.0,The Second Nun’s Tale,Etching and aquatint on paper,1972.0,Presented by Waddington Galleries through the Institute of Contemporary Prints 1975,1975.0,http://www.tate.org.uk/art/images/work/P/P01/P01124_8.jpg,http://www.tate.org.uk/art/artworks/frink-the-second-nuns-tale-p01124
982,4593.0,Frink,Dame Elisabeth,1124.0,Goshawk,Etching and aquatint on paper,1974.0,Presented by Waddington Galleries through the Institute of Contemporary Prints 1975,1975.0,http://www.tate.org.uk/art/images/work/P/P01/P01128_8.jpg,http://www.tate.org.uk/art/artworks/frink-goshawk-p01128
