id,Date,State,Total Confirmed Cases,Total Deaths
575,Sat 9/5,Minnesota,79932,1903
576,Sat 9/5,Mississippi,86478,2569
577,Sat 9/5,Missouri,93713,1728
578,Sat 9/5,Montana,8178,116
579,Sat 9/5,Nebraska,35805,415
580,Sat 9/5,Nevada,71184,1390
581,Sat 9/5,New Hampshire,7424,432
582,Sat 9/5,New Jersey,195530,15985
583,Sat 9/5,New Mexico,26048,800
584,Sat 9/5,New York,443497,32579
585,Sat 9/5,North Carolina,176124,2913
586,Sat 9/5,North Dakota,13338,159
587,Sat 9/5,Northern Mariana Islands,58,2
588,Sat 9/5,Ohio,129785,4256
589,Sat 9/5,Oklahoma,63187,850
590,Sat 9/5,Oregon,27857,482
591,Sat 9/5,Pennsylvania,143301,7837
592,Sat 9/5,Puerto Rico,34492,464
593,Sat 9/5,Rhode Island,22243,1055
594,Sat 9/5,South Carolina,124289,2877
595,Sat 9/5,South Dakota,14889,173
596,Sat 9/5,Tennessee,159893,1838
597,Sat 9/5,Texas,663246,13660
598,Sat 9/5,Utah,54364,421
599,Sat 9/5,Vermont,1647,58
600,Sat 9/5,Virgin Islands,1167,16
601,Sat 9/5,Virginia,125727,2677
602,Sat 9/5,Washington,79900,2042
603,Sat 9/5,West Virginia,11289,243
604,Sat 9/5,Wisconsin,85517,1177
605,Sat 9/5,Wyoming,4006,42
606,Sun 9/6,Alabama,132314,2276
607,Sun 9/6,Alaska,6603,39
608,Sun 9/6,Arizona,205772,5221
609,Sun 9/6,Arkansas,65924,894
610,Sun 9/6,California,740233,13730
611,Sun 9/6,Colorado,59626,1980
612,Sun 9/6,Connecticut,53365,4468
613,Sun 9/6,Delaware,18043,609
614,Sun 9/6,District of Columbia,14279,611
615,Sun 9/6,Florida,646423,11848
616,Sun 9/6,Georgia,266707,5900
617,Sun 9/6,Guam,2588,17
618,Sun 9/6,Hawaii,9829,84
619,Sun 9/6,Idaho,34053,387
620,Sun 9/6,Illinois,252306,8409
621,Sun 9/6,Indiana,101937,3364
622,Sun 9/6,Iowa,70210,1167
623,Sun 9/6,Kansas,46151,483
624,Sun 9/6,Kentucky,56172,1035
625,Sun 9/6,Louisiana,153764,5093
626,Sun 9/6,Maine,4682,134
627,Sun 9/6,Maryland,112557,3799
628,Sun 9/6,Massachusetts,122562,9125
629,Sun 9/6,Michigan,117310,6809
630,Sun 9/6,Minnesota,80639,1909
631,Sun 9/6,Mississippi,86888,2584
632,Sun 9/6,Missouri,94923,1739
633,Sun 9/6,Montana,8272,117
634,Sun 9/6,Nebraska,35891,415
635,Sun 9/6,Nevada,71711,1394
636,Sun 9/6,New Hampshire,7447,433
637,Sun 9/6,New Jersey,195841,15989
638,Sun 9/6,New Mexico,26107,803
639,Sun 9/6,New York,444226,32585
640,Sun 9/6,North Carolina,177141,2920
641,Sun 9/6,North Dakota,13635,160
642,Sun 9/6,Northern Mariana Islands,58,2
643,Sun 9/6,Ohio,130558,4259
644,Sun 9/6,Oklahoma,63607,853
645,Sun 9/6,Oregon,28045,483
646,Sun 9/6,Pennsylvania,143902,7837
647,Sun 9/6,Puerto Rico,34533,477
648,Sun 9/6,Rhode Island,22243,1055
649,Sun 9/6,South Carolina,124952,2887
650,Sun 9/6,South Dakota,15109,173
651,Sun 9/6,Tennessee,161589,1841
652,Sun 9/6,Texas,665338,13739
653,Sun 9/6,Utah,54660,423
654,Sun 9/6,Vermont,1648,58
655,Sun 9/6,Virgin Islands,1181,17
