id,Rollercoaster Name,Amusement Park,City,Country,Region,Construction Material,Height,Speed,Length,Inversion,Number of Inversions,Year Opened
166,Space Mountain: Mission 2,Disneyland Resort Paris - Disneyland Park,"Marne la Vallee, Ile-de-France",France,Europe,Steel,32.0,71.0,"1,000",Yes,3.0,1995.0
167,Medusa,Six Flags Mexico,Mexico City,Mexico,Latin America,Wood,32.0,88.5,955.8,No,0.0,2000.0
168,Batman The Ride,Six Flags Over Texas,Arlington,USA,North America,Steel,32.004,81.0,822.96,Yes,5.0,1999.0
169,Goliath,Six Flags Fiesta Texas,San Antonio,USA,North America,Steel,32.004,81.0,820.826,Yes,5.0,2008.0
170,Batman The Ride,Six Flags Magic Mountain,Valencia,USA,North America,Steel,32.004,81.0,822.96,Yes,5.0,1994.0
171,Maverick,Cedar Point,Sandusky,USA,North America,Steel,32.004,113.4,"1,356.36",Yes,2.0,2007.0
172,Superman - Ultimate Flight,Six Flags Great America,Gurnee,USA,North America,Steel,32.3088,82.62,852.83,Yes,2.0,2003.0
173,Great White,SeaWorld San Antonio,San Antonio,USA,North America,Steel,32.9184,81.0,780.898,Yes,5.0,1997.0
174,Unknown,Hopi Hari,Sao Paulo,Brazil,Latin America,Steel,33.0,85.0,875.0,Yes,10.0,2013.0
175,Mind Eraser,Elitch Gardens,Denver,USA,North America,Steel,33.2232,79.38,688.848,Yes,5.0,1997.0
176,Kong,Six Flags Discovery Kingdom,Vallejo,USA,North America,Steel,33.2232,79.38,688.848,Yes,5.0,1998.0
177,Desafio,Parque de la Costa,"Buenos Aires, BA",Argentina,Latin America,Steel,33.3,80.0,689.0,Yes,5.0,1999.0
178,Firewhip,Beto Carrero World,"Penha, SC",Brazil,Latin America,Steel,33.3,80.0,689.0,Yes,5.0,2008.0
179,Raptor,Fantasilandia,"Santiago, Santiago",Chile,Latin America,Steel,33.3,80.0,689.0,Yes,5.0,2008.0
180,MP-Xpress,Movie Park Germany,"Bottrop, North Rhine-Westphalia",Germany,Europe,Steel,33.3,80.0,689.0,Yes,5.0,2001.0
181,Limit,Heide-Park Soltau,"Soltau, Lower Saxony",Germany,Europe,Steel,33.3,80.0,689.0,Yes,5.0,1999.0
182,Batman the Ride,Six Flags Mexico,Mexico City,Mexico,Latin America,Steel,33.3,80.0,689.0,Yes,5.0,2000.0
183,Beast,Kings Island,Kings Mills,USA,North America,Wood,33.528,103.68,"2,243.02",No,0.0,1979.0
184,Montana Infinitum,La Feria Chapultpec,Mexico City,Mexico,Latin America,Steel,33.8,85.3,"1,049.70",Yes,3.0,2007.0
185,Revolution,Six Flags Magic Mountain,Valencia,USA,North America,Steel,34.4424,89.1,"1,053.69",Yes,1.0,1976.0
186,Firehawk,Kings Island,Kings Mills,USA,North America,Steel,35.052,81.0,"1,018.03",Yes,5.0,2007.0
187,Tsunaumi,Isla San Marcos Parque Tematico,Aguascalientes,Mexico,Latin America,Steel,35.1,86.9,"1,120.10",Yes,4.0,2008.0
188,Flashback,Six Flags Over Texas,Arlington,USA,North America,Steel,35.3568,76.14,284.988,Yes,3.0,1989.0
189,Boomerang,Elitch Gardens,Denver,USA,North America,Steel,35.3568,76.14,284.988,Yes,3.0,1999.0
190,Boomerang,Six Flags Fiesta Texas,San Antonio,USA,North America,Steel,35.3568,76.14,284.988,Yes,3.0,1999.0
191,Shockwave,Six Flags Over Texas,Arlington,USA,North America,Steel,35.3568,97.2,"1,097.28",Yes,2.0,1978.0
