id,Provider,Location,Latitude,Longitude,Access Location,Borough,Neighborhood,Postal Code
1172,LinkNYC - Citybridge,2504 FREDERICK DOUGLASS BLVD,40.82,-73.95,Outdoor Kiosk,Manhattan,Central Harlem North-Polo Grounds,10030.0
1173,LinkNYC - Citybridge,2660 8 AVENUE,40.82,-73.94,Outdoor Kiosk,Manhattan,Central Harlem North-Polo Grounds,10030.0
1174,LinkNYC - Citybridge,2730 FREDERICK DOUGLASS BLVD,40.82,-73.94,Outdoor Kiosk,Manhattan,Central Harlem North-Polo Grounds,10039.0
1175,LinkNYC - Citybridge,2711 FREDERICK DOUGLASS BOULEVARD,40.82,-73.94,Outdoor Kiosk,Manhattan,Central Harlem North-Polo Grounds,10030.0
1176,LinkNYC - Citybridge,2710 FREDERICK DOUGLASS BLVD,40.82,-73.94,Outdoor Kiosk,Manhattan,Central Harlem North-Polo Grounds,10030.0
1177,LinkNYC - Citybridge,2690 FREDERICK DOUGLASS BLVD,40.82,-73.94,Outdoor Kiosk,Manhattan,Central Harlem North-Polo Grounds,10030.0
1178,LinkNYC - Citybridge,2817 FREDERICK DOUGLASS BLVD,40.83,-73.94,Outdoor Kiosk,Manhattan,Central Harlem North-Polo Grounds,10039.0
1179,LinkNYC - Citybridge,2446 ADAM CLAYTON POWELL JR BOULEVARD,40.82,-73.94,Outdoor Kiosk,Manhattan,Central Harlem North-Polo Grounds,10030.0
1180,LinkNYC - Citybridge,2260 ADAM CLAYTON POWELL JR BOULEVARD,40.81,-73.94,Outdoor Kiosk,Manhattan,Central Harlem North-Polo Grounds,10030.0
1181,LinkNYC - Citybridge,2340 ADAM CLAYTON POWELL JR BOULEVARD,40.82,-73.94,Outdoor Kiosk,Manhattan,Central Harlem North-Polo Grounds,10030.0
1182,LinkNYC - Citybridge,201 W 138 ST,40.82,-73.94,Outdoor Kiosk,Manhattan,Central Harlem North-Polo Grounds,10030.0
1183,LinkNYC - Citybridge,200 DR MARTIN LUTHER KING BLVD,40.81,-73.95,Outdoor Kiosk,Manhattan,Central Harlem South,10027.0
1184,LinkNYC - Citybridge,201 WEST 125 STREET,40.81,-73.95,Outdoor Kiosk,Manhattan,Central Harlem South,10027.0
1185,LinkNYC - Citybridge,1940 ADAM CLAYTON POWELL JR BOULEVARD,40.8,-73.95,Outdoor Kiosk,Manhattan,Central Harlem South,10026.0
1186,LinkNYC - Citybridge,2010 ADAM CLAYTON POWELL JR BOULEVARD,40.81,-73.95,Outdoor Kiosk,Manhattan,Central Harlem South,10027.0
